"Udledning af drivhusgasser efter enhed, kilde, branche, type,"
"drivhusgas, område og tid"

" ";" ";" ";" ";" ";" ";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
"Udledning i ton"
" ";"I alt"
" ";" ";"I alt"
" ";" ";" ";"Faktisk udledning"
" ";" ";" ";" ";"CO2"
" ";" ";" ";" ";" ";"Odense";2154991;2189792;2102829;2193720;2281703;2171792;2348797;2065707;2301991;2256589;2345903;1665988
" ";" ";" ";" ";" ";"Svendborg";268780;291964;283555;285154;300805;283583;258461;249964;245222;239103;234672;227285
" ";" ";" ";" ";" ";"Nordfyns";192012;207918;207134;206124;203253;209826;189182;186322;177826;168627;183977;170524
" ";" ";" ";" ";" ";"Langeland";61603;64402;63185;61069;58562;56424;56335;56194;58293;57508;56686;53900
" ";" ";" ";" ";" ";"Ærø";33920;35229;34555;33369;32623;25654;24433;26364;24017;26027;26278;24630
" ";" ";" ";" ";" ";"Haderslev";372063;360610;358964;369674;391032;378958;346924;306307;297374;291828;301601;282956
" ";" ";" ";" ";" ";"Billund";269939;295993;272274;272356;276999;250621;180925;180338;188701;168966;173705;163358
" ";" ";" ";" ";" ";"Sønderborg";581311;524227;537860;561242;562465;541554;554820;552157;536518;462500;472184;459501
" ";" ";" ";" ";" ";"Tønder";462208;469558;454905;458466;462375;455277;438801;335322;320631;299019;316719;295825
" ";" ";" ";" ";" ";"Esbjerg";2188145;2538955;2423050;2682312;2278346;2249254;2710673;2508639;1719863;1860710;1852988;2643300
" ";" ";" ";" ";" ";"Fanø";6908;6802;7109;6674;6651;6614;6426;6726;7121;6909;6781;6791
" ";" ";" ";" ";" ";"Varde";362293;354412;346978;349987;350976;330343;315731;275585;269284;254682;244524;228845
" ";" ";" ";" ";" ";"Vejen";240810;247638;241493;252315;240921;238023;232151;240166;228400;225097;240340;212339
" ";" ";" ";" ";" ";"Aabenraa";3836456;3814255;4148083;4014744;3305358;1563749;2963484;2680881;3192164;2601861;3069204;1791281
" ";" ";" ";" ";" ";"Fredericia";1130483;1172964;1181408;1543639;1450189;1258440;1608409;1127621;1303385;1643147;1513660;1347757
" ";" ";" ";" ";" ";"Horsens";456290;477386;465260;482968;500913;490732;507319;455963;464606;446866;475280;435239
" ";" ";" ";" ";" ";"Kolding";579627;591700;584947;589413;601434;548505;565226;423175;398854;368121;378793;357383
" ";" ";" ";" ";" ";"Vejle";659404;669830;666249;689886;690748;688049;682058;485209;483393;481028;448067;414523
" ";" ";" ";" ";" ";"Herning";568172;585371;500309;457204;435568;426567;406616;423317;429975;406011;412179;404688
" ";" ";" ";" ";" ";"Holstebro";304433;314469;312285;317727;320809;299690;285385;280705;280647;258907;272242;251627
" ";" ";" ";" ";" ";"Lemvig";392488;406571;382160;365110;357196;335805;330653;301003;316819;314190;332754;315765
" ";" ";" ";" ";" ";"Struer";96640;98246;100479;100280;96816;89092;86020;95319;90541;88594;92759;85329
" ";" ";" ";" ";" ";"Syddjurs";162301;165349;169723;172554;171295;171991;158219;153489;148704;138702;139743;135976
" ";" ";" ";" ";" ";"Norddjurs";382786;393028;375374;364059;372681;344904;326518;195325;201568;184811;193514;195566
" ";" ";" ";" ";" ";"Favrskov";287535;289063;281043;282739;288340;308211;315444;278330;257215;222450;227234;213402
" ";" ";" ";" ";" ";"Odder";82738;76424;74646;76046;76017;76620;75933;78474;76247;73267;74231;69787
" ";" ";" ";" ";" ";"Randers";762202;798258;768403;761001;835466;754895;699918;532242;466772;395288;384720;344569
" ";" ";" ";" ";" ";"Silkeborg";609381;626804;595100;606994;608514;605142;629636;733795;758392;809937;788514;736356
" ";" ";" ";" ";" ";"Samsø";25521;28236;26445;24526;23707;23528;23190;24796;25437;24022;23843;22800
" ";" ";" ";" ";" ";"Skanderborg";180375;187289;188872;195675;193735;194331;186995;181482;176835;166143;168745;160145
" ";" ";" ";" ";" ";"Aarhus";2303595;3115267;3160041;3544393;3143522;2868241;3770241;3127334;3626343;3552149;3260879;3125668
" ";" ";" ";" ";" ";"Ikast-Brande";241421;249881;235530;227381;231600;230753;225282;260792;255676;255345;280480;255880
" ";" ";" ";" ";" ";"Ringkøbing-Skjern";523208;549236;548935;549744;537022;523899;484849;451774;446357;393108;423264;390793
" ";" ";" ";" ";" ";"Hedensted";419292;421062;413083;435288;449035;451376;469847;314787;327555;316357;342603;326977
" ";" ";" ";" ";" ";"Morsø";159415;169042;167648;177172;167392;161206;162910;170921;164283;161640;182050;163331
" ";" ";" ";" ";" ";"Skive";339940;353766;351269;366694;366401;342669;340391;353284;328025;302161;321940;298756
" ";" ";" ";" ";" ";"Thisted";356207;362884;350010;362407;358624;360758;336500;316471;313758;286184;303492;278806
" ";" ";" ";" ";" ";"Viborg";690464;694582;682456;682937;718319;732792;722181;701785;634415;603505;637414;608976
" ";" ";" ";" ";" ";"Brønderslev";158048;163402;161814;165478;166281;176412;176140;174896;168755;155279;162969;154396
" ";" ";" ";" ";" ";"Frederikshavn";465851;462977;438868;390910;399092;377905;388401;396744;409645;382896;414069;395933
" ";" ";" ";" ";" ";"Vesthimmerlands";327831;342781;338135;331334;331407;337828;344277;219378;230396;199300;204937;190790
" ";" ";" ";" ";" ";"Læsø";14355;14187;14838;14252;13314;14688;14526;13807;13735;13407;14320;13152
" ";" ";" ";" ";" ";"Rebild";156965;165136;162463;167938;166033;167183;163888;147922;149045;140049;146706;136332
" ";" ";" ";" ";" ";"Mariagerfjord";572493;585504;573537;587317;574598;583531;538959;464869;360182;319960;390291;313522
" ";" ";" ";" ";" ";"Jammerbugt";231405;248451;237989;240897;241180;240608;232536;231974;232398;226310;237489;218358
" ";" ";" ";" ";" ";"Aalborg";4734962;5038335;4803036;5996048;5018907;4927145;5687654;6223661;4775429;4638078;5023977;4062340
" ";" ";" ";" ";" ";"Hjørring";451799;458330;445633;426364;400210;366423;359530;354210;337432;308913;330993;367909
" ";" ";" ";" ";"Lattergas"
" ";" ";" ";" ";" ";"København";108;69;57;62;59;61;62;68;60;62;61;60
" ";" ";" ";" ";" ";"Frederiksberg";5;5;4;4;4;4;4;4;4;4;4;4
" ";" ";" ";" ";" ";"Ballerup";6;6;6;7;7;6;6;6;8;5;6;6
" ";" ";" ";" ";" ";"Brøndby";7;8;7;6;6;7;8;10;9;10;10;10
" ";" ";" ";" ";" ";"Dragør";4;4;4;4;3;4;4;4;3;2;3;3
" ";" ";" ";" ";" ";"Gentofte";5;5;5;5;5;5;5;5;6;5;5;5
" ";" ";" ";" ";" ";"Gladsaxe";8;8;8;8;9;10;9;11;10;7;12;12
" ";" ";" ";" ";" ";"Glostrup";9;9;9;10;10;10;11;11;10;11;12;11
" ";" ";" ";" ";" ";"Herlev";3;3;3;3;3;3;2;2;2;2;2;2
" ";" ";" ";" ";" ";"Albertslund";2;2;2;3;3;2;2;3;3;3;3;3
" ";" ";" ";" ";" ";"Hvidovre";16;22;35;40;45;37;48;37;23;40;41;40
" ";" ";" ";" ";" ";"Høje-Taastrup";61;62;60;76;262;35;37;45;45;36;43;44
" ";" ";" ";" ";" ";"Lyngby-Taarbæk";7;7;7;8;7;8;8;9;9;6;5;5
" ";" ";" ";" ";" ";"Rødovre";3;3;3;3;3;3;2;3;3;3;3;3
" ";" ";" ";" ";" ";"Ishøj";11;12;12;11;12;11;11;12;7;12;10;10
" ";" ";" ";" ";" ";"Tårnby";8;10;10;9;10;6;6;7;7;6;6;6
" ";" ";" ";" ";" ";"Vallensbæk";1;1;1;1;1;1;1;1;1;1;1;1
" ";" ";" ";" ";" ";"Furesø";7;7;7;7;8;7;7;5;4;3;4;4
" ";" ";" ";" ";" ";"Allerød";23;23;23;22;20;21;20;25;23;33;26;26
" ";" ";" ";" ";" ";"Fredensborg";35;35;32;32;30;28;27;24;18;26;22;22
" ";" ";" ";" ";" ";"Helsingør";27;28;27;25;26;25;24;25;32;28;27;27
" ";" ";" ";" ";" ";"Hillerød";78;76;75;68;70;69;67;68;62;62;61;62
" ";" ";" ";" ";" ";"Hørsholm";5;5;5;4;5;5;5;5;7;5;4;4
" ";" ";" ";" ";" ";"Rudersdal";16;17;17;17;18;19;20;21;19;17;20;19
" ";" ";" ";" ";" ";"Egedal";53;52;54;49;49;48;47;49;41;58;47;48
" ";" ";" ";" ";" ";"Frederikssund";139;136;134;132;131;129;125;108;105;106;102;103
" ";" ";" ";" ";" ";"Greve";35;32;31;32;31;33;32;29;20;25;24;24
" ";" ";" ";" ";" ";"Køge";179;191;221;181;130;136;132;114;85;94;93;94
" ";" ";" ";" ";" ";"Halsnæs";33;33;31;28;29;28;28;28;28;27;26;27
" ";" ";" ";" ";" ";"Roskilde";136;128;124;115;119;115;112;116;127;110;112;113
" ";" ";" ";" ";" ";"Solrød";20;20;20;18;18;17;17;21;34;20;24;24
" ";" ";" ";" ";" ";"Gribskov";103;101;101;92;91;89;87;84;88;67;76;77
" ";" ";" ";" ";" ";"Odsherred";162;159;155;146;144;138;134;140;116;148;129;130
" ";" ";" ";" ";" ";"Holbæk";355;348;348;324;332;323;314;339;366;288;316;320
" ";" ";" ";" ";" ";"Faxe";240;231;238;225;233;229;223;236;269;242;237;240
" ";" ";" ";" ";" ";"Kalundborg";432;412;402;373;367;357;363;368;373;337;338;338
" ";" ";" ";" ";" ";"Ringsted";174;166;163;156;157;149;145;163;105;160;137;138
" ";" ";" ";" ";" ";"Slagelse";371;353;358;345;343;331;333;358;366;325;332;331
" ";" ";" ";" ";" ";"Stevns";186;179;178;161;162;163;159;172;194;151;165;167
" ";" ";" ";" ";" ";"Sorø";161;162;155;143;149;148;144;149;162;162;151;152
" ";" ";" ";" ";" ";"Lejre";145;139;139;130;131;129;125;128;185;128;140;142
" ";" ";" ";" ";" ";"Lolland";553;538;546;526;542;532;518;525;545;506;499;505
" ";" ";" ";" ";" ";"Næstved";440;423;419;390;400;398;387;383;440;394;388;392
" ";" ";" ";" ";" ";"Guldborgsund";498;480;488;465;474;467;454;482;472;445;444;448
" ";" ";" ";" ";" ";"Vordingborg";343;332;333;305;313;306;297;324;325;295;300;303
" ";" ";" ";" ";" ";"Bornholm";336;324;319;295;301;296;288;296;289;297;281;284
" ";" ";" ";" ";" ";"Middelfart";161;153;144;134;147;139;136;157;213;148;165;167
" ";" ";" ";" ";" ";"Assens";290;280;286;268;265;271;263;260;354;273;283;286
" ";" ";" ";" ";" ";"Faaborg-Midtfyn";356;343;338;321;324;320;311;326;308;298;297;300
" ";" ";" ";" ";" ";"Kerteminde";132;129;120;120;120;116;113;129;155;125;130;132
