"Udledning af drivhusgasser efter enhed, branche, type, kilde,"
"drivhusgas, område og tid"

" ";" ";" ";" ";" ";" ";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
"Udledning i ton"
" ";"I alt"
" ";" ";"Faktisk udledning"
" ";" ";" ";"Fossile brændsler (olie, kul, gas)"
" ";" ";" ";" ";"CO2"
" ";" ";" ";" ";" ";"Nordfyns";231;247;219;225;222;186;107;83;71;59;82;66
" ";" ";" ";" ";" ";"Langeland";8;7;7;6;6;6;5;6;7;5;5;4
" ";" ";" ";" ";" ";"Ærø";4;4;3;3;3;3;3;2;3;2;2;2
" ";" ";" ";" ";" ";"Haderslev";250;269;241;229;229;190;155;130;144;131;153;127
" ";" ";" ";" ";" ";"Billund";199;222;201;187;186;152;113;99;123;91;101;86
" ";" ";" ";" ";" ";"Sønderborg";388;399;384;364;359;303;264;229;246;223;258;222
" ";" ";" ";" ";" ";"Tønder";351;321;324;302;305;280;233;217;206;167;181;155
" ";" ";" ";" ";" ";"Esbjerg";305;313;273;256;254;205;175;148;139;136;148;149
" ";" ";" ";" ";" ";"Fanø";1;1;1;1;1;1;1;1;1;1;1;1
" ";" ";" ";" ";" ";"Varde";183;197;170;157;156;125;118;107;111;105;79;61
" ";" ";" ";" ";" ";"Vejen";129;132;110;102;99;88;74;67;67;65;82;64
" ";" ";" ";" ";" ";"Aabenraa";162;160;152;142;137;107;122;101;107;99;112;83
" ";" ";" ";" ";" ";"Fredericia";1300;1480;1456;2267;2397;2038;2387;1373;1675;1838;1979;1594
" ";" ";" ";" ";" ";"Horsens";295;312;280;261;261;229;200;162;183;180;226;188
" ";" ";" ";" ";" ";"Kolding";179;174;158;145;150;128;113;89;85;84;90;76
" ";" ";" ";" ";" ";"Vejle";287;276;254;231;231;201;166;129;134;122;144;126
" ";" ";" ";" ";" ";"Herning";460;862;569;402;350;312;197;230;223;189;235;246
" ";" ";" ";" ";" ";"Holstebro";207;224;198;189;214;159;133;115;126;102;126;104
" ";" ";" ";" ";" ";"Lemvig";276;292;263;242;243;219;180;162;179;149;145;124
" ";" ";" ";" ";" ";"Struer";30;33;32;30;25;20;19;19;16;17;24;16
" ";" ";" ";" ";" ";"Syddjurs";26;22;21;20;19;19;15;14;14;17;15;13
" ";" ";" ";" ";" ";"Norddjurs";50;47;43;41;41;36;33;18;27;24;24;22
" ";" ";" ";" ";" ";"Favrskov";187;174;150;152;150;128;109;81;87;75;76;64
" ";" ";" ";" ";" ";"Odder";64;43;40;39;38;36;30;29;31;27;28;23
" ";" ";" ";" ";" ";"Randers";244;241;220;209;207;191;147;122;100;92;101;91
" ";" ";" ";" ";" ";"Silkeborg";604;654;536;509;519;460;397;358;405;371;455;397
" ";" ";" ";" ";" ";"Samsø";3;3;3;2;2;2;2;2;3;2;2;2
" ";" ";" ";" ";" ";"Skanderborg";64;61;56;54;53;48;41;36;36;34;34;30
" ";" ";" ";" ";" ";"Aarhus";140;293;272;280;272;231;216;197;190;205;197;175
" ";" ";" ";" ";" ";"Ikast-Brande";161;155;140;131;127;105;86;85;86;83;122;101
" ";" ";" ";" ";" ";"Ringkøbing-Skjern";471;512;445;441;470;400;327;297;316;249;308;278
" ";" ";" ";" ";" ";"Hedensted";159;162;141;134;144;136;98;69;89;80;98;106
" ";" ";" ";" ";" ";"Morsø";98;107;90;81;80;72;62;59;61;54;63;53
" ";" ";" ";" ";" ";"Skive";215;228;198;178;180;151;118;90;92;73;94;82
" ";" ";" ";" ";" ";"Thisted";207;211;165;169;184;151;106;61;72;67;83;69
" ";" ";" ";" ";" ";"Viborg";697;735;643;591;602;547;453;412;434;377;475;415
" ";" ";" ";" ";" ";"Brønderslev";88;94;85;83;83;79;67;60;61;51;66;58
" ";" ";" ";" ";" ";"Frederikshavn";404;427;390;353;350;308;254;228;250;211;264;216
" ";" ";" ";" ";" ";"Vesthimmerlands";146;156;150;133;123;121;98;77;98;65;69;50
" ";" ";" ";" ";" ";"Læsø";2;1;1;1;1;1;1;1;2;1;1;1
" ";" ";" ";" ";" ";"Rebild";105;110;98;96;94;93;74;64;70;61;73;65
" ";" ";" ";" ";" ";"Mariagerfjord";382;409;376;355;319;323;195;183;85;87;217;69
" ";" ";" ";" ";" ";"Jammerbugt";272;298;260;249;248;231;191;174;188;157;183;165
" ";" ";" ";" ";" ";"Aalborg";558;512;516;526;554;529;465;418;386;319;343;316
" ";" ";" ";" ";" ";"Hjørring";396;437;374;355;328;210;168;150;139;126;172;132
" ";" ";" ";" ";"GWP (CO2-ækvivalenter)"
" ";" ";" ";" ";" ";"København";3208806;3293867;3196481;3365542;2998319;2939624;3125474;3150777;2816793;3028451;2698888;2401611
" ";" ";" ";" ";" ";"Frederiksberg";164112;174650;144553;132802;139525;130692;123187;120822;121449;119548;136488;132928
" ";" ";" ";" ";" ";"Ballerup";198517;200492;194469;204443;203838;185489;180554;186959;192085;186069;196183;182108
" ";" ";" ";" ";" ";"Brøndby";159120;161678;160494;165064;178589;201271;218218;279416;289805;271096;283834;269173
" ";" ";" ";" ";" ";"Dragør";42403;43445;43097;44331;44074;43107;42325;40878;40320;40161;41087;36431
" ";" ";" ";" ";" ";"Gentofte";224165;230329;227390;232805;230931;218948;210342;202051;200785;202735;208617;184564
" ";" ";" ";" ";" ";"Gladsaxe";345161;358184;340928;352433;364718;380951;340972;361243;381754;293335;414834;387114
" ";" ";" ";" ";" ";"Glostrup";131874;134754;129901;129264;133138;133339;179900;166312;172193;162165;166742;154855
" ";" ";" ";" ";" ";"Herlev";119107;121950;117911;123126;124692;120284;82217;90988;75997;75024;80269;70727
" ";" ";" ";" ";" ";"Albertslund";81661;81234;78068;81048;83939;78138;76122;84220;87838;104231;102807;90756
" ";" ";" ";" ";" ";"Hvidovre";1503446;1821676;2542899;2359331;2679735;1891640;2946568;2282241;2122670;2036135;1987164;1936535
" ";" ";" ";" ";" ";"Høje-Taastrup";346469;350652;330545;327407;347958;378064;448733;592347;591131;428938;591504;568909
" ";" ";" ";" ";" ";"Lyngby-Taarbæk";277270;286591;275134;272697;288679;285148;297892;285593;261711;242140;211540;193216
" ";" ";" ";" ";" ";"Rødovre";98657;99571;97817;99679;99668;97059;94841;100004;100598;97936;100439;93655
" ";" ";" ";" ";" ";"Ishøj";51293;50842;51966;53787;54499;53137;51935;110490;103618;95995;107857;102993
" ";" ";" ";" ";" ";"Tårnby";198436;192940;186222;195167;189600;180543;185350;242092;241506;226627;219583;184100
" ";" ";" ";" ";" ";"Vallensbæk";42160;43287;42312;34430;33217;36350;36557;35980;32480;30072;32132;29497
" ";" ";" ";" ";" ";"Furesø";103357;108315;104563;108604;109039;108082;100309;99412;102900;99816;102885;92008
" ";" ";" ";" ";" ";"Allerød";100257;103380;99294;100707;102193;96987;96910;98949;96270;94462;88366;80772
" ";" ";" ";" ";" ";"Fredensborg";140087;142092;140038;139893;135660;124951;123402;122232;118139;113609;115168;106867
" ";" ";" ";" ";" ";"Helsingør";279317;292868;284891;277154;277326;267363;254404;252719;253617;240436;277164;236892
" ";" ";" ";" ";" ";"Hillerød";323949;336457;317659;315748;316362;289807;302194;270609;251419;262864;300375;264064
" ";" ";" ";" ";" ";"Hørsholm";92172;91907;89336;92907;87236;83934;81628;76550;76416;76881;74741;66143
" ";" ";" ";" ";" ";"Rudersdal";407757;416627;409059;427425;470173;510527;521496;590248;592201;552712;551985;504420
" ";" ";" ";" ";" ";"Egedal";143693;149163;147790;151762;150108;147475;145125;138606;138514;135565;140117;124425
" ";" ";" ";" ";" ";"Frederikssund";380123;418257;426188;539484;431825;434600;444464;317023;278336;293539;303259;269919
" ";" ";" ";" ";" ";"Greve";162502;168613;165801;169942;170820;163330;161671;172316;169838;169540;181625;167304
" ";" ";" ";" ";" ";"Køge";408587;494272;470416;399199;393843;418160;405424;424993;441263;394182;426842;402358
" ";" ";" ";" ";" ";"Halsnæs";186373;186202;132914;157241;151633;163520;168005;177458;175056;131131;140175;143160
" ";" ";" ";" ";" ";"Roskilde";269329;276845;273460;287165;290970;280371;274496;283818;279312;342316;300778;262797
" ";" ";" ";" ";" ";"Solrød";66756;70430;68622;67931;67926;65360;64070;63544;61529;58166;58209;53341
" ";" ";" ";" ";" ";"Gribskov";152621;157284;157868;159013;160445;158246;163692;180084;175552;168673;175136;162068
" ";" ";" ";" ";" ";"Odsherred";153180;158159;155633;167480;170179;157758;151053;148634;145924;143393;148529;140175
" ";" ";" ";" ";" ";"Holbæk";295370;301754;296827;310518;307202;294707;289614;298055;297377;286436;298708;273386
" ";" ";" ";" ";" ";"Faxe";207229;215048;222836;202660;208620;214030;227119;243922;215811;185125;197304;192113
" ";" ";" ";" ";" ";"Kalundborg";4967272;4543478;3878404;5299562;3281143;3946283;5754883;4754611;3719368;3673566;2974277;2566578
" ";" ";" ";" ";" ";"Ringsted";167110;174798;171118;173787;174743;156777;157444;153781;152099;148909;150141;136697
" ";" ";" ";" ";" ";"Slagelse";1571069;1172595;1543852;2746829;1574925;1214193;2445463;1552492;1119677;602894;504878;332160
" ";" ";" ";" ";" ";"Stevns";136790;146039;140023;139336;136108;131405;126328;114027;111921;101146;103811;93377
" ";" ";" ";" ";" ";"Sorø";143166;146249;145338;151145;156088;142304;136323;135057;136884;129898;136258;125591
" ";" ";" ";" ";" ";"Lejre";103848;107570;108253;109180;105858;103990;102053;106067;103856;95353;96648;89215
" ";" ";" ";" ";" ";"Lolland";353545;358580;351644;369101;378403;367670;364775;381352;430456;348733;350079;364723
" ";" ";" ";" ";" ";"Næstved";422046;418482;414074;414720;406496;388708;375280;379042;361292;346437;367306;339311
" ";" ";" ";" ";" ";"Guldborgsund";321609;316661;327847;361320;361084;335913;329305;337687;389049;348812;352990;357331
" ";" ";" ";" ";" ";"Vordingborg";264885;263176;268948;276341;272632;273560;249831;242184;232878;215679;220619;209031
" ";" ";" ";" ";" ";"Bornholm";250690;244101;239921;239563;243364;225335;233216;211773;208261;215501;222937;185694
" ";" ";" ";" ";" ";"Middelfart";177487;182762;176977;181887;182250;185870;185241;180003;178875;168220;177811;161456
" ";" ";" ";" ";" ";"Assens";321897;328185;317861;334394;324762;308456;279651;261619;240847;210304;235449;220674
" ";" ";" ";" ";" ";"Faaborg-Midtfyn";372397;395215;379086;379665;377041;367194;349546;364553;354466;325548;333932;304484
" ";" ";" ";" ";" ";"Kerteminde";141280;145627;141309;147740;142198;136016;138694;145382;140700;129688;129140;123516
" ";" ";" ";" ";" ";"Nyborg";147749;142724;145764;145766;146464;145369;134014;151843;128311;117306;119035;114424
" ";" ";" ";" ";" ";"Odense";2207062;2240305;2143012;2225813;2303785;2191169;2362116;2077190;2313072;2268563;2358854;1675959
" ";" ";" ";" ";" ";"Svendborg";260430;277810;269383;273061;270157;256042;238821;228895;229139;229161;226105;216218
" ";" ";" ";" ";" ";"Nordfyns";198218;214558;213149;212257;209294;215188;192824;189512;180975;171274;187173;173331
" ";" ";" ";" ";" ";"Langeland";62372;65157;63904;61630;59041;56899;56825;56746;59099;58139;57285;54454
" ";" ";" ";" ";" ";"Ærø";34316;35627;34935;33740;32984;25948;24711;26656;24367;26323;26573;24912
" ";" ";" ";" ";" ";"Haderslev";369413;368279;365808;376498;397996;385066;352478;311380;302896;296824;307075;287919
" ";" ";" ";" ";" ";"Billund";260012;287828;260997;266752;271877;245035;179474;176909;186013;167644;172281;160585
" ";" ";" ";" ";" ";"Sønderborg";404742;413858;425066;444722;439252;414520;402172;379047;397118;370064;390719;357611
" ";" ";" ";" ";" ";"Tønder";472908;479812;464990;468162;472108;464362;446794;341880;327135;304480;322630;301070
" ";" ";" ";" ";" ";"Esbjerg";2189348;2538423;2421387;2682897;2279850;2249073;2713131;2508816;1719516;1864141;1857500;2649360
" ";" ";" ";" ";" ";"Fanø";7001;6890;7196;6755;6729;6689;6495;6799;7209;6984;6852;6868
" ";" ";" ";" ";" ";"Varde";332810;329863;319976;329244;321756;302416;291423;253033;251393;243688;234093;214892
" ";" ";" ";" ";" ";"Vejen";245405;252346;244711;256165;244592;241487;235254;243312;231711;228188;243865;215322
" ";" ";" ";" ";" ";"Aabenraa";3846029;3827408;4162224;4028701;3317930;1570951;2974730;2690700;3202557;2612386;3081721;1799407
" ";" ";" ";" ";" ";"Fredericia";1158453;1204894;1212876;1593345;1501810;1302058;1660521;1157199;1339779;1684830;1557367;1382811
" ";" ";" ";" ";" ";"Horsens";465229;487145;474395;491420;509613;498790;514873;462066;471371;453447;482904;441875
" ";" ";" ";" ";" ";"Kolding";578859;597352;590877;595314;607710;554141;570796;426553;402321;371616;382373;360273
" ";" ";" ";" ";" ";"Vejle";668374;681177;673542;696732;697454;694915;687818;488366;487602;485605;452760;418284
" ";" ";" ";" ";" ";"Herning";581467;607003;515462;468946;446069;436090;413363;429780;436807;412366;419540;411950
" ";" ";" ";" ";" ";"Holstebro";309123;319922;316258;322450;326176;304053;289008;284202;284618;262407;276250;254893
" ";" ";" ";" ";" ";"Lemvig";400765;415234;389977;372363;364408;342374;336446;306217;322904;319475;338092;320651
" ";" ";" ";" ";" ";"Struer";97852;99639;101830;101675;98061;90206;87066;96464;91690;89693;94015;86373
" ";" ";" ";" ";" ";"Syddjurs";164230;167205;171713;174480;173164;173827;159949;155123;150757;140336;141372;137512
" ";" ";" ";" ";" ";"Norddjurs";386185;396260;378485;367164;375891;347896;329525;196539;203530;186531;195333;197333
" ";" ";" ";" ";" ";"Favrskov";292708;294167;284696;286908;292715;311663;319074;281125;260336;225056;229851;215470
" ";" ";" ";" ";" ";"Odder";84789;77987;76128;77522;77466;78021;77215;79777;77671;74494;75491;70933
" ";" ";" ";" ";" ";"Randers";768523;804567;771593;768762;845150;763600;707730;537919;472138;399783;389379;348726
" ";" ";" ";" ";" ";"Silkeborg";600557;629246;600873;615377;617694;614953;636745;742254;768216;821545;801119;746947
" ";" ";" ";" ";" ";"Samsø";25822;28557;26737;24795;23975;23791;23455;25081;25829;24312;24126;23075
" ";" ";" ";" ";" ";"Skanderborg";183109;190119;191438;198357;196347;196930;189380;183204;178676;167896;170494;161719
" ";" ";" ";" ";" ";"Aarhus";2297642;3114524;3160226;3548540;3147923;2871354;3779819;3134545;3634997;3565640;3272976;3135353
" ";" ";" ";" ";" ";"Ikast-Brande";246509;254948;240202;231874;236048;234757;228828;264705;259685;259224;285275;260120
" ";" ";" ";" ";" ";"Ringkøbing-Skjern";536258;563358;561661;562403;550202;535589;494849;461117;456439;401237;432753;399506
" ";" ";" ";" ";" ";"Hedensted";426096;428061;419535;438554;455871;458071;476065;318481;331981;320369;347137;331572
" ";" ";" ";" ";" ";"Morsø";162678;172567;170794;180243;170404;164021;165594;173654;167298;164252;185017;165974
" ";" ";" ";" ";" ";"Skive";326417;336800;332171;341022;337012;324930;322260;334811;314085;293430;315079;289005
" ";" ";" ";" ";" ";"Thisted";334925;344146;327783;342567;339271;336964;315814;286972;291012;271667;291310;262499
" ";" ";" ";" ";" ";"Viborg";645493;652618;644115;647389;680070;683937;651977;638695;585400;573278;613565;575546
" ";" ";" ";" ";" ";"Brønderslev";161067;166611;164795;168459;169215;179376;178928;177568;171536;157643;165665;156913
" ";" ";" ";" ";" ";"Frederikshavn";435158;445112;426288;373799;385241;369022;370905;380075;398170;376553;410313;388641
" ";" ";" ";" ";" ";"Vesthimmerlands";333871;349160;344301;337122;336984;343384;349439;222752;234887;202358;208136;193556
" ";" ";" ";" ";" ";"Læsø";14401;14344;14988;14392;13447;14831;14667;13951;13967;13559;14477;13298
" ";" ";" ";" ";" ";"Rebild";160251;168709;165748;171260;169320;170442;166781;150464;151837;142474;149410;138844
" ";" ";" ";" ";" ";"Mariagerfjord";565257;577884;568111;580434;566165;573309;522290;438071;337160;305398;380351;296480
" ";" ";" ";" ";" ";"Jammerbugt";238625;256309;244983;247721;247966;247031;238083;237238;238248;231228;243004;223432
" ";" ";" ";" ";" ";"Aalborg";3793430;4060315;3855848;5177380;4134828;4100791;4866658;5408137;4108687;4195605;4632602;3575940
" ";" ";" ";" ";" ";"Hjørring";443433;455763;441175;423038;397317;360036;350714;349264;334715;308091;331810;367336
" ";" ";" ";"Vedvarende energi"
" ";" ";" ";" ";"CO2"
" ";" ";" ";" ";" ";"København";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Frederiksberg";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Ballerup";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Brøndby";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Dragør";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Gentofte";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Gladsaxe";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Glostrup";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Herlev";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Albertslund";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Hvidovre";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Høje-Taastrup";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Lyngby-Taarbæk";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Rødovre";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Ishøj";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Tårnby";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Vallensbæk";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Furesø";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Allerød";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Fredensborg";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Helsingør";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Hillerød";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Hørsholm";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Rudersdal";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Egedal";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Frederikssund";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Greve";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Køge";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Halsnæs";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Roskilde";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Solrød";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Gribskov";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Odsherred";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Holbæk";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Faxe";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Kalundborg";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Ringsted";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Slagelse";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Stevns";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Sorø";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Lejre";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Lolland";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Næstved";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Guldborgsund";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Vordingborg";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Bornholm";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Middelfart";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Assens";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Faaborg-Midtfyn";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Kerteminde";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Nyborg";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Odense";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Svendborg";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Nordfyns";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Langeland";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Ærø";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Haderslev";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Billund";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Sønderborg";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Tønder";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Esbjerg";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Fanø";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Varde";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Vejen";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Aabenraa";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Fredericia";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Horsens";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Kolding";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Vejle";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Herning";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Holstebro";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Lemvig";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Struer";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Syddjurs";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Norddjurs";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Favrskov";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Odder";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Randers";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Silkeborg";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Samsø";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Skanderborg";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Aarhus";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Ikast-Brande";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Ringkøbing-Skjern";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Hedensted";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Morsø";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Skive";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Thisted";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Viborg";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Brønderslev";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Frederikshavn";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Vesthimmerlands";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Læsø";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Rebild";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Mariagerfjord";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Jammerbugt";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Aalborg";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Hjørring";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";"Lattergas"
" ";" ";" ";" ";" ";"København";4;4;5;5;6;7;7;7;5;7;10;12
" ";" ";" ";" ";" ";"Frederiksberg";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Ballerup";0;0;0;0;0;0;1;1;0;1;1;1
" ";" ";" ";" ";" ";"Brøndby";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Dragør";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Gentofte";1;1;1;1;1;1;1;1;1;1;1;1
" ";" ";" ";" ";" ";"Gladsaxe";0;0;0;0;1;1;1;1;0;1;1;1
" ";" ";" ";" ";" ";"Glostrup";5;5;5;6;6;6;6;6;5;6;7;6
" ";" ";" ";" ";" ";"Herlev";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Albertslund";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Hvidovre";0;1;2;4;7;8;6;8;2;10;15;14
" ";" ";" ";" ";" ";"Høje-Taastrup";1;1;1;1;1;1;0;1;0;1;1;1
" ";" ";" ";" ";" ";"Lyngby-Taarbæk";0;0;0;0;0;1;1;1;0;1;1;1
" ";" ";" ";" ";" ";"Rødovre";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Ishøj";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Tårnby";0;0;0;0;0;0;0;1;0;1;1;1
" ";" ";" ";" ";" ";"Vallensbæk";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Furesø";0;0;0;0;0;0;1;1;0;1;1;1
" ";" ";" ";" ";" ";"Allerød";0;0;0;0;0;0;0;1;0;1;1;0
" ";" ";" ";" ";" ";"Fredensborg";0;0;0;0;0;0;1;1;0;1;1;1
" ";" ";" ";" ";" ";"Helsingør";0;0;1;1;1;1;1;1;0;1;1;1
" ";" ";" ";" ";" ";"Hillerød";1;1;1;1;1;1;1;1;1;1;1;1
" ";" ";" ";" ";" ";"Hørsholm";1;1;1;1;2;2;2;2;1;2;0;0
" ";" ";" ";" ";" ";"Rudersdal";1;1;1;1;1;1;1;1;1;1;3;2
" ";" ";" ";" ";" ";"Egedal";0;0;0;1;1;1;1;1;0;1;1;1
" ";" ";" ";" ";" ";"Frederikssund";0;0;1;1;1;1;1;1;0;1;1;1
" ";" ";" ";" ";" ";"Greve";0;0;1;1;1;1;1;1;0;1;1;1
" ";" ";" ";" ";" ";"Køge";16;15;11;1;1;1;1;2;1;1;2;1
