"Udledning af drivhusgasser efter enhed, branche, type, kilde,"
"drivhusgas, område og tid"

" ";" ";" ";" ";" ";" ";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
"Udledning i ton"
" ";"I alt"
" ";" ";"Faktisk udledning"
" ";" ";" ";"Fossile brændsler (olie, kul, gas)"
" ";" ";" ";" ";"CO2"
" ";" ";" ";" ";" ";"Nyborg";144951;140249;143441;143528;144136;143218;132138;149836;126406;115678;117463;112921
" ";" ";" ";" ";" ";"Odense";2146056;2184220;2097482;2190152;2277880;2168477;2345345;2062674;2299240;2254739;2344042;1663718
" ";" ";" ";" ";" ";"Svendborg";254886;271376;263646;267630;264795;251490;235051;225604;225306;225681;222630;212599
" ";" ";" ";" ";" ";"Nordfyns";192012;207918;207134;206124;203227;209809;189167;186322;177826;168627;183977;170524
" ";" ";" ";" ";" ";"Langeland";61603;64402;63185;60936;58381;56278;56201;56113;58213;57455;56628;53829
" ";" ";" ";" ";" ";"Ærø";33920;35229;34555;33369;32623;25654;24433;26364;24017;26027;26278;24630
" ";" ";" ";" ";" ";"Haderslev";361402;359824;357943;368850;390187;378163;346528;306307;297374;291828;301601;282956
" ";" ";" ";" ";" ";"Billund";254056;281204;255015;260957;266089;240114;175783;173640;182162;164576;168979;157594
" ";" ";" ";" ";" ";"Sønderborg";394071;402940;414446;434392;429079;405643;394168;371786;388975;363064;382921;350644
" ";" ";" ";" ";" ";"Tønder";462176;469531;454867;458426;462348;455259;438787;335306;320615;299009;316707;295810
" ";" ";" ";" ";" ";"Esbjerg";2174246;2522043;2405918;2666635;2264736;2235252;2699111;2496114;1709570;1853773;1846726;2635663
" ";" ";" ";" ";" ";"Fanø";6908;6802;7109;6674;6651;6614;6426;6726;7121;6909;6781;6791
" ";" ";" ";" ";" ";"Varde";326255;322973;313780;323203;315774;297228;286504;248791;246761;239512;230456;211683
" ";" ";" ";" ";" ";"Vejen";240808;247638;240519;252023;240633;237795;231878;239952;228191;224957;240189;212154
" ";" ";" ";" ";" ";"Aabenraa";3830724;3811839;4145756;4012098;3303083;1561944;2961528;2678573;3190106;2600476;3067835;1789611
" ";" ";" ";" ";" ";"Fredericia";1127627;1170218;1178525;1540803;1446961;1255332;1605513;1124907;1300845;1640912;1511535;1345815
" ";" ";" ";" ";" ";"Horsens";455517;476963;464963;482241;500287;490256;506756;455476;464131;446547;474936;434820
" ";" ";" ";" ";" ";"Kolding";569864;588220;582183;586810;599063;546475;563241;421290;397013;366886;377463;355760
" ";" ";" ";" ";" ";"Vejle";656331;669215;662180;685554;686311;684487;678107;481697;480401;479013;446170;412209
" ";" ";" ";" ";" ";"Herning";568171;585145;499980;456967;435323;426184;405849;421513;428492;405011;411276;403587
" ";" ";" ";" ";" ";"Holstebro";302608;312978;309870;316186;319403;298546;284119;279603;279571;258184;271464;250678
" ";" ";" ";" ";" ";"Lemvig";392488;406571;382160;365110;357196;335805;330653;301003;316819;314190;332754;315765
" ";" ";" ";" ";" ";"Struer";96385;98101;100282;100173;96703;89005;85924;95218;90442;88528;92687;85242
" ";" ";" ";" ";" ";"Syddjurs";162146;165216;169601;172452;171193;171898;158141;153428;148646;138662;139700;135924
" ";" ";" ";" ";" ";"Norddjurs";381601;391621;374095;362805;371581;343969;325637;194446;200850;184327;193080;195037
" ";" ";" ";" ";" ";"Favrskov";286230;287920;279039;281160;286961;306186;313828;276941;255860;221539;226254;212208
" ";" ";" ";" ";" ";"Odder";82722;76404;74646;76046;76017;76620;75933;78474;76247;73267;74231;69787
" ";" ";" ";" ";" ";"Randers";757649;793671;761255;758475;834048;753697;698890;531632;466177;394888;384291;344045
" ";" ";" ";" ";" ";"Silkeborg";583564;610991;585150;600053;602206;600609;623359;728276;753331;806534;785054;732137
" ";" ";" ";" ";" ";"Samsø";25521;28236;26445;24526;23707;23528;23190;24796;25437;24022;23843;22800
" ";" ";" ";" ";" ";"Skanderborg";180040;187048;188485;195389;193434;194157;186832;180854;176221;165731;168302;159604
" ";" ";" ";" ";" ";"Aarhus";2283313;3094440;3140272;3526513;3127085;2852607;3758966;3115624;3615884;3545113;3253910;3117170
" ";" ";" ";" ";" ";"Ikast-Brande";241420;249881;235530;227381;231599;230753;225282;260792;255676;255345;280480;255880
" ";" ";" ";" ";" ";"Ringkøbing-Skjern";523023;549052;548679;549478;536806;523679;484643;451598;446185;392993;423140;390641
" ";" ";" ";" ";" ";"Hedensted";419002;420773;412810;431787;448792;451132;469657;314540;327314;316196;342429;326765
" ";" ";" ";" ";" ";"Morsø";159370;168988;167601;177137;167392;161206;162910;170921;164283;161640;182050;163331
" ";" ";" ";" ";" ";"Skive";319617;329655;325685;334860;330851;319453;317412;330333;309264;289518;310600;284926
" ";" ";" ";" ";" ";"Thisted";328159;337197;321875;336474;332922;331270;311098;283258;286609;267886;287081;258792
" ";" ";" ";" ";" ";"Viborg";626654;632981;626315;630652;662866;667852;638018;625650;572027;561462;599591;562851
" ";" ";" ";" ";" ";"Brønderslev";157855;163234;161653;165344;166084;176279;176003;174806;168667;155220;162906;154319
" ";" ";" ";" ";" ";"Frederikshavn";424102;433503;415503;363933;375377;360159;363235;372854;390117;369735;402264;381537
" ";" ";" ";" ";" ";"Vesthimmerlands";327818;342778;338133;331333;331396;337826;344272;219378;230396;199300;204937;190790
" ";" ";" ";" ";" ";"Læsø";14227;14187;14838;14252;13314;14688;14526;13807;13735;13407;14320;13152
" ";" ";" ";" ";" ";"Rebild";156725;165005;162337;167841;165949;167115;163842;147895;149018;140031;146686;136308
" ";" ";" ";" ";" ";"Mariagerfjord";553566;565653;556638;569253;555815;562846;514586;431629;332669;301424;373412;292937
" ";" ";" ";" ";" ";"Jammerbugt";231405;248451;237989;240895;241180;240608;232536;231972;232396;226309;237487;218357
" ";" ";" ";" ";" ";"Aalborg";3758851;4026258;3822028;5138919;4098580;4065087;4828524;5369578;4077121;4167456;4601743;3547420
" ";" ";" ";" ";" ";"Hjørring";431978;443396;430193;412556;387565;352859;344452;343290;328505;302898;325596;361328
" ";" ";" ";" ";"Lattergas"
" ";" ";" ";" ";" ";"København";51;55;51;57;53;54;55;60;55;55;51;48
" ";" ";" ";" ";" ";"Frederiksberg";5;5;4;4;4;4;4;4;4;4;4;4
" ";" ";" ";" ";" ";"Ballerup";5;5;5;5;5;4;4;4;5;4;4;4
" ";" ";" ";" ";" ";"Brøndby";5;5;5;6;6;7;8;10;9;9;10;10
" ";" ";" ";" ";" ";"Dragør";1;1;1;1;1;1;1;1;1;1;1;1
" ";" ";" ";" ";" ";"Gentofte";4;5;5;5;5;4;4;4;5;4;4;4
" ";" ";" ";" ";" ";"Gladsaxe";8;8;8;8;8;9;8;10;10;7;11;11
" ";" ";" ";" ";" ";"Glostrup";4;4;4;4;4;4;5;5;5;5;5;5
" ";" ";" ";" ";" ";"Herlev";3;3;3;3;3;3;2;2;2;2;2;2
" ";" ";" ";" ";" ";"Albertslund";2;2;2;2;2;2;2;2;3;3;3;3
" ";" ";" ";" ";" ";"Hvidovre";15;20;32;37;38;29;42;29;22;30;26;25
" ";" ";" ";" ";" ";"Høje-Taastrup";11;11;11;11;11;12;15;20;17;14;19;20
" ";" ";" ";" ";" ";"Lyngby-Taarbæk";5;6;6;7;6;7;7;7;6;5;3;3
" ";" ";" ";" ";" ";"Rødovre";2;2;2;2;2;2;2;2;3;2;2;2
" ";" ";" ";" ";" ";"Ishøj";1;1;1;1;1;1;1;3;3;3;3;3
" ";" ";" ";" ";" ";"Tårnby";5;4;4;4;4;4;4;5;7;5;5;4
" ";" ";" ";" ";" ";"Vallensbæk";1;1;1;1;1;1;1;1;1;1;1;1
" ";" ";" ";" ";" ";"Furesø";2;2;2;2;2;2;2;2;3;2;2;2
" ";" ";" ";" ";" ";"Allerød";2;2;2;2;2;2;2;2;3;2;2;2
" ";" ";" ";" ";" ";"Fredensborg";3;3;3;3;3;3;3;3;3;3;3;3
" ";" ";" ";" ";" ";"Helsingør";5;5;5;5;5;5;4;5;6;4;5;4
" ";" ";" ";" ";" ";"Hillerød";6;6;6;6;6;6;6;5;6;5;5;5
" ";" ";" ";" ";" ";"Hørsholm";2;2;2;2;2;2;2;2;2;2;2;1
" ";" ";" ";" ";" ";"Rudersdal";12;12;12;12;14;15;16;18;16;16;16;15
" ";" ";" ";" ";" ";"Egedal";3;3;3;3;3;3;3;3;4;3;3;3
" ";" ";" ";" ";" ";"Frederikssund";10;11;11;15;12;12;12;7;6;6;7;6
" ";" ";" ";" ";" ";"Greve";4;4;4;4;4;4;4;4;5;4;4;4
" ";" ";" ";" ";" ";"Køge";8;10;9;7;7;7;7;9;10;8;8;8
" ";" ";" ";" ";" ";"Halsnæs";3;3;3;3;3;3;3;3;4;2;3;3
" ";" ";" ";" ";" ";"Roskilde";7;7;7;8;8;7;7;7;8;10;8;7
" ";" ";" ";" ";" ";"Solrød";2;2;2;2;2;1;1;1;2;1;1;1
" ";" ";" ";" ";" ";"Gribskov";4;4;4;4;4;4;4;4;6;4;4;4
" ";" ";" ";" ";" ";"Odsherred";4;4;4;4;4;3;3;3;5;4;4;4
" ";" ";" ";" ";" ";"Holbæk";7;7;7;7;7;7;6;7;10;7;7;7
